pt_sl,horizon,score_es,score_nq,total,fine_es,fine_nq,total_fine,es_pos,es_neg,es_hold,nq_pos,nq_neg,nq_hold
"(2.0, 1.5)",6,1.5,1.5,3.0,1.0027181688125895,0.9622412562455389,1.9649594250581284,0.5486409155937053,0.4427753934191702,0.008583690987124463,0.5688793718772306,0.42755174875089225,0.0035688793718772305
"(2.0, 1.5)",8,1.5,1.5,3.0,1.0010043041606886,0.984917798427448,1.9859221025881366,0.5494978479196556,0.44619799139167865,0.00430416068866571,0.557541100786276,0.4381701215153681,0.004288777698355968
"(2.0, 1.5)",12,1.5,1.5,3.0,1.0248554913294798,0.9735632183908047,1.9984187097202846,0.5375722543352601,0.45809248554913296,0.004335260115606936,0.5632183908045977,0.4281609195402299,0.008620689655172414
"(2.0, 1.5)",16,1.5,1.5,3.0,1.0234104046242773,0.9882521489971345,2.011662553621412,0.5382947976878613,0.45736994219653176,0.004335260115606936,0.5558739255014327,0.4355300859598854,0.008595988538681949
"(2.0, 1.5)",24,1.5,1.5,3.0,1.0297218155197658,0.9914450035945362,2.021166819114302,0.5351390922401171,0.4633967789165447,0.0014641288433382138,0.5542774982027319,0.4378145219266715,0.007907979870596693
"(2.0, 2.0)",4,0.5,0.5,1.0,-0.057519600855310105,-0.081169757489301,-0.1386893583446111,0.5787598004276551,0.4091233071988596,0.012116892373485389,0.5905848787446505,0.405848787446505,0.003566333808844508
"(2.0, 2.0)",6,0.5,0.5,1.0,-0.0630901287553648,-0.1034261241970022,-0.166516252952367,0.5815450643776824,0.40772532188841204,0.01072961373390558,0.6017130620985011,0.39400428265524623,0.004282655246252677
"(2.0, 2.0)",8,0.5,0.5,1.0,-0.08651362984218075,-0.11229449606862046,-0.19880812591080121,0.5932568149210904,0.4024390243902439,0.00430416068866571,0.6061472480343102,0.3895639742673338,0.004288777698355968
"(2.0, 2.0)",12,0.5,0.5,1.0,-0.09508670520231216,-0.13419540229885063,-0.2292821075011628,0.5975433526011561,0.3952312138728324,0.0072254335260115606,0.6170977011494253,0.3728448275862069,0.010057471264367816
"(2.0, 2.0)",16,0.5,0.5,1.0,-0.10809248554913292,-0.14498567335243562,-0.25307815890156854,0.6040462427745664,0.3908959537572254,0.0050578034682080926,0.6224928366762178,0.36891117478510027,0.008595988538681949
"(2.0, 2.0)",24,0.5,0.5,1.0,-0.10204978038067353,-0.14802300503235089,-0.2500727854130244,0.6010248901903368,0.39751098096632503,0.0014641288433382138,0.6240115025161754,0.36736161035226456,0.008626887131560028
"(2.5, 2.0)",4,0.5,0.5,1.0,-0.043264433357092014,-0.07403708987161195,-0.11730152322870396,0.571632216678546,0.41625089094796863,0.012116892373485389,0.587018544935806,0.4094151212553495,0.003566333808844508
"(2.5, 2.0)",6,0.5,0.5,1.0,-0.03876967095851225,-0.08201284796573877,-0.12078251892425101,0.5693848354792561,0.41917024320457796,0.011444921316165951,0.5910064239828694,0.4039971448965025,0.004996431120628123
"(2.5, 2.0)",8,0.5,0.5,1.0,-0.05208034433285513,-0.08370264474624733,-0.13578298907910247,0.5760401721664276,0.41893830703012913,0.005021520803443328,0.5918513223731237,0.4038598999285204,0.004288777698355968
"(2.5, 2.0)",12,1.5,0.5,2.0,0.9598265895953757,-0.09540229885057477,0.864424290744801,0.5700867052023122,0.42124277456647397,0.008670520231213872,0.5977011494252874,0.3915229885057471,0.010775862068965518
"(2.5, 2.0)",16,1.5,0.5,2.0,0.9569364161849712,-0.08767908309455591,0.8692573330904152,0.5715317919075145,0.42196531791907516,0.006502890173410405,0.5938395415472779,0.3954154727793696,0.010744985673352435
"(2.5, 2.0)",24,1.5,0.5,2.0,0.9857979502196192,-0.06894320632638384,0.9168547438932354,0.5571010248901903,0.43997071742313326,0.0029282576866764276,0.5844716031631919,0.40115025161754136,0.014378145219266714
"(3.0, 3.0)",4,0.5,0.5,1.0,-0.06607270135424098,-0.0940085592011412,-0.1600812605553822,0.5830363506771205,0.4034212401995723,0.0135424091233072,0.5970042796005706,0.3980028530670471,0.004992867332382311
"(3.0, 3.0)",6,0.5,0.5,1.0,-0.07167381974248926,-0.12055674518201293,-0.1922305649245022,0.5858369098712446,0.4012875536480687,0.012875536480686695,0.6102783725910065,0.38258386866523914,0.007137758743754461
"(3.0, 3.0)",8,0.5,0.5,1.0,-0.10086083213773323,-0.12087205146533242,-0.22173288360306564,0.6004304160688666,0.38880918220946914,0.010760401721664276,0.6104360257326662,0.38313080771979985,0.006433166547533953
"(3.0, 3.0)",12,0.5,0.5,1.0,-0.10375722543352606,-0.1413793103448276,-0.24513653577835365,0.601878612716763,0.38078034682080925,0.017341040462427744,0.6206896551724138,0.3670977011494253,0.01221264367816092
"(3.0, 3.0)",16,0.5,0.5,1.0,-0.10809248554913292,-0.13925501432664766,-0.24734749987578059,0.6040462427745664,0.3836705202312139,0.012283236994219654,0.6196275071633238,0.3681948424068768,0.012177650429799427
"(3.0, 3.0)",24,0.5,0.5,1.0,-0.09033674963396782,-0.1307692307692308,-0.22110598040319862,0.5951683748169839,0.3953147877013177,0.00951683748169839,0.6153846153846154,0.3680805176132279,0.01653486700215672
