feature,family,subfamily,status,reasons,is_event_based,n_total,null_pct,n_unique,top_value,top_freq_pct,std
price,META,0a_bar_meta,ALIVE,,False,16746,0.0,3220,28743.5,0.22,659.2157902051506
price_1030,3_IB_OVERNIGHT,3_ib,DEAD,NULL>96%,False,16746,96.26,2,30749.75,85.33,323.14165485791887
price_vs_swing_mid,1_MARKET_STRUCTURE,1c_swing,ALIVE,,False,16746,0.0,3,1.0,56.8,0.9703340800246143
profile_hvn_dominant,1_MARKET_STRUCTURE,1a_tpo_profile,ALIVE,,False,16746,0.0,31,28620.0,35.18,607.8827904375497
profile_overlap_above_pdh,OTHER,unclassified,ALIVE,,False,16746,76.03,1112,0.0,19.43,11.353970129789204
profile_overlap_below_pdl,OTHER,unclassified,DEAD,CONSTANT | top_freq>100%,False,16746,76.03,1,0.0,100.0,0.0
profile_overlap_pct,OTHER,unclassified,DEAD,top_freq>100%,False,16746,76.03,15,0.0,99.55,0.0062375037075396485
profile_shape,1_MARKET_STRUCTURE,1a_tpo_concepts,ALIVE,,False,16746,0.0,4,3,76.79,0.8170544595201925
profile_skew,1_MARKET_STRUCTURE,1a_tpo_concepts,ALIVE,,False,16746,0.0,853,0.1873,0.87,0.13185012643667715
pvwap,4_VWAP_ANCHOR,4_pvwap_abs,ALIVE,,False,16746,2.89,6,28904.83,49.7,293.58510889417596
pvwap_sd1d,4_VWAP_ANCHOR,4_pvwap_abs,ALIVE,,False,16746,2.89,6,28747.79,49.7,276.32070958736233
pvwap_sd1u,4_VWAP_ANCHOR,4_pvwap_abs,ALIVE,,False,16746,2.89,6,29057.26,49.7,333.6501289266349
range_extension_above_ib_atr,OTHER,unclassified,ALIVE,,False,16746,73.14,52,0.0,80.26,0.06073701121159122
range_extension_below_ib_atr,OTHER,unclassified,ALIVE,,False,16746,73.14,32,0.0,88.11,0.15067110059615793
range_extension_completed,OTHER,unclassified,DEAD,std<0.00e+00,False,16746,73.14,2,False,90.95,0.0
range_h_minus_lprev_ticks,1_MARKET_STRUCTURE,1a_bar_microstructure,ALIVE,,False,16746,42.82,368,32,1.41,80.9700865710239
range_hprev_minus_l_ticks,1_MARKET_STRUCTURE,1a_bar_microstructure,ALIVE,,False,16746,42.82,372,34,1.58,74.47424407878624
range_pos_va,1_MARKET_STRUCTURE,1b_vp_current_range,ALIVE,,False,16746,2.89,1615,100.0,44.43,35.706250035221856
range_size,1_MARKET_STRUCTURE,1a_bar_microstructure,ALIVE,,False,16746,0.0,353,13.25,1.56,17.866366297488938
range_size_ticks,1_MARKET_STRUCTURE,1b_vp_current_range,ALIVE,,False,16746,2.89,1217,1680.0,0.74,362.0300634763915
