feature,family,subfamily,status,reasons,is_event_based,n_total,null_pct,n_unique,top_value,top_freq_pct,std
vix_regime,9_VOLATILITY_VIX,9_vix_core,DEAD,CONSTANT,True,13338,0.0,1,1,100.0,0.0
vol_per_sec,5_ORDER_FLOW,5b_volume_abs,ALIVE,,False,13338,0.0,2990,2.0,0.29,30.08750074855147
volume,META,0a_bar_meta,ALIVE,,False,13338,14.01,1668,58.0,0.44,1719.1121665277317
volume_imbalance,1_MARKET_STRUCTURE,1a_tpo_profile,ALIVE,,False,13338,0.0,935,1.5705,0.52,2.3033384284702842
vwap_d,4_VWAP_ANCHOR,4_vwap_abs,ALIVE,,False,13338,0.0,3142,7582.74,3.6,105.3194738188944
vwap_d_sd1d,4_VWAP_ANCHOR,4_vwap_abs,ALIVE,,False,13338,0.0,3050,7568.87,3.6,109.17881885599873
vwap_d_sd1u,4_VWAP_ANCHOR,4_vwap_abs,ALIVE,,False,13338,0.0,2853,7596.61,3.6,102.18071457854597
vwap_d_sd2d,4_VWAP_ANCHOR,4_vwap_abs,ALIVE,,False,13338,0.0,2636,7555.01,3.6,113.68610555433398
vwap_d_sd2u,4_VWAP_ANCHOR,4_vwap_abs,ALIVE,,False,13338,0.0,2673,7610.48,3.69,99.83060259709853
vwap_d_sd3d,4_VWAP_ANCHOR,4_vwap_abs,ALIVE,,False,13338,0.0,2728,7541.14,3.6,118.76618650294627
vwap_d_sd3u,4_VWAP_ANCHOR,4_vwap_abs,ALIVE,,False,13338,0.0,2827,7624.35,3.6,98.325521946666
vwap_d_side,4_VWAP_ANCHOR,4_vwap_side,ALIVE,,False,13338,0.0,2,1,81.54,0.7759217151830834
vwap_m,4_VWAP_ANCHOR,4_vwap_abs,ALIVE,,False,13338,3.6,1553,7456.88,1.59,13.061785391266922
vwap_m_sd1d,4_VWAP_ANCHOR,4_vwap_abs,ALIVE,,False,13338,3.6,1545,7343.86,10.07,18.97187065381212
vwap_m_sd1u,4_VWAP_ANCHOR,4_vwap_abs,ALIVE,,False,13338,3.6,1627,7563.93,2.06,10.057078304622094
vwap_m_sd2d,4_VWAP_ANCHOR,4_vwap_abs,ALIVE,,False,13338,3.6,1806,7230.86,2.93,25.86748332516604
vwap_m_sd2u,4_VWAP_ANCHOR,4_vwap_abs,ALIVE,,False,13338,3.6,1306,7673.14,6.06,12.310581595192392
vwap_m_sd3d,4_VWAP_ANCHOR,4_vwap_abs,ALIVE,,False,13338,3.6,2046,7117.8,1.01,33.138921219928406
vwap_m_sd3u,4_VWAP_ANCHOR,4_vwap_abs,ALIVE,,False,13338,3.6,1445,7782.36,3.42,17.939118070363072
vwap_m_side,4_VWAP_ANCHOR,4_vwap_side,ALIVE,,False,13338,0.0,3,-1,73.28,0.8440590428158443
vwap_ma_align,4_VWAP_ANCHOR,4_vwap_dynamics,ALIVE,,False,13338,0.0,2,1,81.54,0.3879608575915417
vwap_slope_10,4_VWAP_ANCHOR,4_vwap_dynamics,ALIVE,,False,13338,0.0,3250,0.2882,3.64,2.282998542669568
vwap_slope_10_dir,4_VWAP_ANCHOR,4_vwap_dynamics,ALIVE,,False,13338,0.0,3,1,84.77,0.7179440868792123
vwap_slope_30,4_VWAP_ANCHOR,4_vwap_dynamics,ALIVE,,False,13338,0.0,3616,0.3514,3.6,1.3974586864761547
vwap_triple_align,4_VWAP_ANCHOR,4_vwap_dynamics,ALIVE,,False,13338,0.0,3,0,60.46,0.6264181547798482
vwap_w,4_VWAP_ANCHOR,4_vwap_abs,ALIVE,,False,13338,3.6,2409,7368.12,1.31,73.95311641134772
vwap_w_sd1d,4_VWAP_ANCHOR,4_vwap_abs,ALIVE,,False,13338,3.6,2388,7308.52,0.89,92.90981444169353
vwap_w_sd1u,4_VWAP_ANCHOR,4_vwap_abs,ALIVE,,False,13338,3.6,2201,7427.74,3.03,55.722549784899364
vwap_w_sd2d,4_VWAP_ANCHOR,4_vwap_abs,ALIVE,,False,13338,3.6,2200,7254.53,1.47,112.22510422140388
vwap_w_sd2u,4_VWAP_ANCHOR,4_vwap_abs,ALIVE,,False,13338,3.6,1784,7487.36,7.05,39.24288167708995
vwap_w_sd3d,4_VWAP_ANCHOR,4_vwap_abs,ALIVE,,False,13338,3.6,2367,7193.61,3.66,131.74147830873903
vwap_w_sd3u,4_VWAP_ANCHOR,4_vwap_abs,ALIVE,,False,13338,3.6,1705,7546.97,2.88,27.822730278325245
vwap_w_side,4_VWAP_ANCHOR,4_vwap_side,ALIVE,,False,13338,0.0,3,1,49.51,0.9814947081815139
within_news_715_5m,10_SESSION_CALENDAR,10_news_proximity,ALIVE,,True,13338,0.0,2,0,99.51,0.07016967114724405
within_news_730_5m,10_SESSION_CALENDAR,10_news_proximity,ALIVE,,True,13338,0.0,2,0,99.67,0.05734076231711917
within_news_830_5m,10_SESSION_CALENDAR,10_news_proximity,ALIVE,,True,13338,0.0,2,0,99.55,0.06691927763073004
within_news_845_5m,10_SESSION_CALENDAR,10_news_proximity,ALIVE,,True,13338,0.0,2,0,99.46,0.0732732629446598
within_news_900_5m,10_SESSION_CALENDAR,10_news_proximity,ALIVE,,True,13338,0.0,2,0,99.64,0.05988146214050827
within_news_930_5m,10_SESSION_CALENDAR,10_news_proximity,ALIVE,,True,13338,0.0,2,0,99.51,0.07016967114724405
