feature,family,subfamily,data_type,dtype_observed,n_total,n_null_pct,n_unique,top_value,top_freq_pct,has_negative
dist_vwap_w_sd1d_pct,4_VWAP_ANCHOR,4_vwap_dist,continuous,float,923,0.0,183,-0.65,2.38,True
dist_vwap_w_sd1u_pct,4_VWAP_ANCHOR,4_vwap_dist,continuous,float,923,0.0,191,2.06,2.38,False
div_at_key_level_ticks,7_REVERSAL_EXHAUSTION,7_div_aggregates,categorical,int,923,99.57,4,79.0,25.0,False
div_confluence_dmp,7_REVERSAL_EXHAUSTION,7_div_aggregates,categorical,int,923,86.13,3,0,96.88,False
div_confluence_with_regime,7_REVERSAL_EXHAUSTION,7_div_aggregates,categorical,int,923,86.13,4,0,89.06,False
div_regime_proxy_ok,7_REVERSAL_EXHAUSTION,7_div_aggregates,binary,int,923,86.13,2,0,91.41,False
equal_highs_detected,1_MARKET_STRUCTURE,1c_liquidity,binary,bool,923,0.0,2,False,97.94,False
equal_lows_detected,1_MARKET_STRUCTURE,1c_liquidity,binary,bool,923,0.0,1,False,100.0,False
finish_delta_pct,5_ORDER_FLOW,5a_finish,continuous,float,923,0.0,3,1.0,87.32,False
finish_strength,5_ORDER_FLOW,5a_finish,continuous,float,923,0.0,136,0.0,11.92,True
fp_edge_buy,6_SIERRA_BN,6_edge,binary,int,923,0.0,2,0,96.64,False
fp_edge_sell,6_SIERRA_BN,6_edge,binary,int,923,0.0,2,0,94.58,False
gex_cluster_count,8_OPTIONS_GAMMA,8_mq_gex,binary,int,923,0.0,2,0.0,94.04,False
high,META,0a_bar_meta,continuous,float,923,0.0,661,28890.75,0.65,False
high_ask_vol_pct,5_ORDER_FLOW,5b_extreme,continuous,float,923,0.0,8,1.0,87.32,False
high_pullback_delta,5_ORDER_FLOW,5a_pullback,continuous,float,923,0.0,29,1.0,54.28,True
hvn_between,1_MARKET_STRUCTURE,1b_session_hvn_lvn,event,constant,923,0.0,1,0,100.0,False
ib_atr,3_IB_OVERNIGHT,3_ib,event,null_only,923,100.0,0,None,0.0,False
ib_broken_dn,3_IB_OVERNIGHT,3_ib,binary,int,923,93.07,2,0,87.5,False
ib_broken_down,3_IB_OVERNIGHT,3_ib,binary,int,923,0.0,2,0,99.35,False
ib_broken_up,3_IB_OVERNIGHT,3_ib,event,constant,923,0.0,1,0,100.0,False
ib_complete,3_IB_OVERNIGHT,3_ib,binary,int,923,0.0,2,0,93.82,False
ib_high,3_IB_OVERNIGHT,3_ib,event,constant,923,93.82,1,29049.5,100.0,False
ib_is_narrow,3_IB_OVERNIGHT,3_ib,event,constant,923,0.0,1,0,100.0,False
ib_is_wide,3_IB_OVERNIGHT,3_ib,binary,int,923,0.0,2,0,88.84,False
ib_low,3_IB_OVERNIGHT,3_ib,event,constant,923,93.82,1,28650.75,100.0,False
ib_position_pct,3_IB_OVERNIGHT,3_ib,continuous,float,923,94.47,51,0.4652,1.96,False
ib_range,3_IB_OVERNIGHT,3_ib,event,constant,923,93.82,1,398.75,100.0,False
ib_range_atr,3_IB_OVERNIGHT,3_ib,continuous,float,923,87.22,16,2.2769,71.19,False
ib_range_ticks,3_IB_OVERNIGHT,3_ib,continuous,float,923,0.0,17,0.0,87.22,False
im_cross_delta_agreement_5,11_INTERMARKET,11_im,continuous,float,923,89.71,8,0.4,45.26,False
im_cross_delta_weighted_5,11_INTERMARKET,11_im,continuous,float,923,89.71,56,0.0,7.37,False
im_cross_open_signal,11_INTERMARKET,11_im,event,constant,923,89.71,1,0.0,100.0,False
im_delta_day_divergence,11_INTERMARKET,11_im,categorical,int,923,89.71,2,0.0,97.89,True
im_ltr_slope_diff,11_INTERMARKET,11_im,continuous,float,923,89.92,93,-0.0933,1.08,True
im_open_type_agreement,11_INTERMARKET,11_im,event,constant,923,89.71,1,0.0,100.0,False
im_price_ratio_slope_10,11_INTERMARKET,11_im,continuous,float,923,89.92,92,0.000263,2.15,True
im_rolling_correlation_10,11_INTERMARKET,11_im,continuous,float,923,90.57,87,-0.013895,1.15,True
im_smt_divergence,11_INTERMARKET,11_im,categorical,int,923,90.36,3,0.0,80.9,True
im_volume_lead,11_INTERMARKET,11_im,continuous,float,923,89.92,90,-418.2,2.15,True
inside_cur_va,1_MARKET_STRUCTURE,1b_vp_current_range,binary,int,923,0.0,2,1,57.1,False
inside_prev_va,2_NIVEAUX_VEILLE,2_prev_bool,binary,int,923,0.0,2,0,51.03,False
is_bar_closed,META,0a_bar_meta,binary,bool,923,0.0,1,True,100.0,False
is_blocked_combined,10_SESSION_CALENDAR,10_session_flags,binary,bool,923,0.0,2,False,91.77,False
is_cash_session,10_SESSION_CALENDAR,10_session_flags,binary,bool,923,0.0,2,False,87.22,False
is_critical_news_60m,10_SESSION_CALENDAR,10_news_flags,binary,bool,923,0.0,2,False,93.5,False
is_double_dist,1_MARKET_STRUCTURE,1a_tpo_profile,binary,int,923,0.0,2,1,99.46,False
is_eco_blocked,10_SESSION_CALENDAR,10_session_flags,binary,bool,923,0.0,2,False,95.12,False
is_ib_window,10_SESSION_CALENDAR,10_session_flags,binary,bool,923,0.0,2,False,93.39,False
is_in_asia,10_SESSION_CALENDAR,10_session_flags,binary,bool,923,0.0,2,False,54.93,False
is_in_london,10_SESSION_CALENDAR,10_session_flags,binary,bool,923,0.0,2,False,57.85,False
is_in_us_after,10_SESSION_CALENDAR,10_session_flags,binary,bool,923,0.0,1,False,100.0,False
is_in_us_cash,10_SESSION_CALENDAR,10_session_flags,binary,bool,923,0.0,2,False,87.22,False
is_new_cash_high,10_SESSION_CALENDAR,10_session_range,binary,bool,923,0.0,2,False,98.7,False
is_new_cash_low,10_SESSION_CALENDAR,10_session_range,binary,bool,923,0.0,2,False,99.02,False
is_new_sess_high,10_SESSION_CALENDAR,10_session_range,event,constant,923,93.07,1,0,100.0,False
is_new_sess_low,10_SESSION_CALENDAR,10_session_range,binary,int,923,93.07,2,0,95.31,False
is_news_15m,10_SESSION_CALENDAR,10_news_flags,binary,bool,923,0.0,2,False,98.37,False
is_news_30m,10_SESSION_CALENDAR,10_news_flags,binary,bool,923,0.0,2,False,96.64,False
is_news_5m,10_SESSION_CALENDAR,10_news_flags,binary,bool,923,0.0,2,False,99.46,False
is_news_60m,10_SESSION_CALENDAR,10_news_flags,binary,bool,923,0.0,2,False,93.5,False
is_news_715,10_SESSION_CALENDAR,10_news_flags,binary,int,923,0.0,2,0,99.89,False
is_news_730,10_SESSION_CALENDAR,10_news_flags,event,constant,923,0.0,1,0,100.0,False
