symbole,cluster,representant,provenance,famille,n_membres,n_A,part_A,membres
ES,50,ib_is_wide,B,INITIAL BALANCE,1,0,0.0,ib_is_wide
ES,82,ib_broken_up,B,INITIAL BALANCE,1,0,0.0,ib_broken_up
ES,67,ctx_day_type_intensity,B,MARKET PROFILE,3,0,0.0,ib_broken_down|ctx_day_type_intensity|ib_broken_dn
ES,38,ib_complete,B,INITIAL BALANCE,4,0,0.0,ib_complete|bool_session_early|is_ib_window|ctx_session_phase
ES,71,dist_ovn_low,A,NIVEAUX VEILLE,14,6,0.429,dist_open_830|dist_ovn_high|dist_ovn_low|pct_in_range|dist_pdl_pct|dist_pdl_atr|above_open_830|dist_asia_open_pct|dist_pvwap_pct|dist_pvwap_sd1u_pct|dist_pvwap_sd1d_pct|dist_pdl|fvg_up_active|fvg_dn_active
ES,57,ovn_range_ticks,B,VOLATILITE / REGIME,1,0,0.0,ovn_range_ticks
ES,81,open_position,B,SESSION / TEMPS,1,0,0.0,open_position
ES,63,cvd_day_dir,B,ORDER FLOW,2,0,0.0,delta_day_dir|cvd_day_dir
ES,21,volume_hnorm,A,AUTRES,3,3,1.0,vol_per_sec_hnorm|total_vol_hnorm|volume_hnorm
ES,26,bar_duration_sec,B,BARRE / OHLC,1,0,0.0,bar_duration_sec
ES,127,finish_strength,B,AUTRES,1,0,0.0,finish_strength
ES,4,rotation_up,B,AUTRES,1,0,0.0,rotation_up
ES,5,rotation_dn,B,AUTRES,1,0,0.0,rotation_dn
ES,132,rotation_zz_osc,B,AUTRES,1,0,0.0,rotation_zz_osc
ES,102,finish_delta_pct,A,ORDER FLOW,2,1,0.5,finish_delta_pct|high_ask_vol_pct
ES,105,high_pullback_delta,B,ORDER FLOW,1,0,0.0,high_pullback_delta
ES,12,bn_color_up,B,BATTLE NAVALE,3,0,0.0,bn_color_up|bn_score_bull|long_up_bar
ES,6,bn_color_dn,B,BATTLE NAVALE,2,0,0.0,bn_color_dn|long_dn_bar
ES,15,bn_absorb_ask,B,ORDER FLOW,1,0,0.0,bn_absorb_ask
ES,8,bn_score_bear,B,BATTLE NAVALE,2,0,0.0,bn_absorb_bid|bn_score_bear
ES,9,bn_score_raw,B,BATTLE NAVALE,1,0,0.0,bn_score_raw
ES,1,n_big_ask_t1,B,ORDER FLOW,4,0,0.0,n_big_ask_t1|n_big_bid_t1|n_big_ask_v2_t1|n_big_bid_v2_t1
ES,31,n_big_ask_t3,B,ORDER FLOW,4,0,0.0,n_big_ask_t3|n_big_bid_t3|n_big_ask_v2_t3|n_big_bid_v2_t3
ES,120,big_ask_cluster_20t_t2,B,ORDER FLOW,2,0,0.0,big_ask_cluster_20t_t2|big_bid_cluster_20t_t2
ES,32,big_ask_cluster_20t_t3,B,ORDER FLOW,1,0,0.0,big_ask_cluster_20t_t3
ES,33,big_bid_cluster_20t_t3,B,ORDER FLOW,1,0,0.0,big_bid_cluster_20t_t3
ES,11,bar_color_up,B,BATTLE NAVALE,2,0,0.0,bar_color_up|bar_long_up_bar
ES,7,bar_color_dn,B,BATTLE NAVALE,2,0,0.0,bar_color_dn|bar_long_dn_bar
ES,100,bar_edge_buy,B,ORDER FLOW,2,0,0.0,bar_edge_buy|bar_edge_buy_fire
ES,103,bar_edge_sell,B,ORDER FLOW,2,0,0.0,bar_edge_sell|bar_edge_sell_fire
ES,122,dist_ext_edge_buy,B,ORDER FLOW,1,0,0.0,dist_ext_edge_buy
ES,131,dist_ext_edge_sell,B,ORDER FLOW,1,0,0.0,dist_ext_edge_sell
ES,13,bn_volume_up,B,BATTLE NAVALE,1,0,0.0,bn_volume_up
ES,10,bn_volume_dn,B,BATTLE NAVALE,1,0,0.0,bn_volume_dn
ES,101,fp_edge_buy,B,ORDER FLOW,1,0,0.0,fp_edge_buy
ES,106,fp_edge_sell,B,ORDER FLOW,1,0,0.0,fp_edge_sell
ES,121,price_vs_swing_mid,B,SWINGS / STRUCTURE,1,0,0.0,price_vs_swing_mid
ES,36,open_type,B,MARKET PROFILE,1,0,0.0,open_type
ES,40,open_zone,B,SESSION / TEMPS,1,0,0.0,open_zone
ES,39,open_bias_conf,B,SESSION / TEMPS,1,0,0.0,open_bias_conf
ES,76,open_direction,B,SESSION / TEMPS,2,0,0.0,open_direction|im_cross_open_signal
ES,34,day_type,B,MARKET PROFILE,1,0,0.0,day_type
ES,84,rule_80pct,B,AUTRES,1,0,0.0,rule_80pct
ES,58,ma_trend,B,AUTRES,1,0,0.0,ma_trend
ES,80,vwap_ma_align,B,VWAP,1,0,0.0,vwap_ma_align
ES,70,vwap_slope_10_dir,B,VWAP,1,0,0.0,vwap_slope_10_dir
ES,49,bool_above_mq_call,B,OPTIONS / MENTHORQ,1,0,0.0,bool_above_mq_call
ES,30,bool_near_level,B,AUTRES,1,0,0.0,bool_near_level
ES,83,bool_ib_inside,B,INITIAL BALANCE,1,0,0.0,bool_ib_inside
ES,90,bool_va_confluence,B,MARKET PROFILE,1,0,0.0,bool_va_confluence
ES,48,bool_gex_flip_zone,B,OPTIONS / MENTHORQ,3,0,0.0,bool_gex_flip_zone|mq_gamma_condition|div_regime_proxy_ok
ES,17,session_hvn_count,B,VOLUME PROFILE,3,0,0.0,session_hvn_count|session_lvn_count|lvn_confluence_count
ES,27,profile_shape,B,MARKET PROFILE,2,0,0.0,profile_shape|is_double_dist
ES,95,profile_skew,B,MARKET PROFILE,1,0,0.0,profile_skew
ES,123,retest_low_count,B,SWINGS / STRUCTURE,1,0,0.0,retest_low_count
ES,96,retest_high_delta_div,B,ORDER FLOW,1,0,0.0,retest_high_delta_div
ES,97,retest_low_delta_div,B,ORDER FLOW,1,0,0.0,retest_low_delta_div
ES,19,range_size_hnorm,A,VOLATILITE / REGIME,1,1,1.0,range_size_hnorm
ES,74,dist_pdh,A,NIVEAUX VEILLE,3,3,1.0,dist_pdh_pct|dist_pdh_atr|dist_pdh
ES,20,atr_14m_pct_hnorm,A,VOLATILITE / REGIME,1,1,1.0,atr_14m_pct_hnorm
ES,119,momentum_10b_r,A,SWINGS / STRUCTURE,2,1,0.5,poc_migration_dir|momentum_10b_r
ES,98,equal_highs_detected,B,BARRE / OHLC,1,0,0.0,equal_highs_detected
ES,47,equal_lows_detected,B,BARRE / OHLC,1,0,0.0,equal_lows_detected
ES,135,liquidity_sweep_high_lag5,B,SWINGS / STRUCTURE,1,0,0.0,liquidity_sweep_high_lag5
ES,87,liquidity_sweep_low_lag5,B,SWINGS / STRUCTURE,1,0,0.0,liquidity_sweep_low_lag5
ES,77,ovn_broken_up,B,SESSION / TEMPS,1,0,0.0,ovn_broken_up
ES,78,ovn_broken_dn,B,SESSION / TEMPS,1,0,0.0,ovn_broken_dn
ES,18,is_session_blocked,B,SESSION / TEMPS,2,0,0.0,is_session_blocked|is_blocked_combined
ES,114,delta_div_buy,B,ORDER FLOW,6,0,0.0,delta_div_buy|delta_div_buy_clean|delta_divergence_clean|delta_div_slope_buy|delta_div_slope_buy_clean|delta_div_slope_clean
ES,112,delta_div_sell,B,ORDER FLOW,4,0,0.0,delta_div_sell|delta_div_sell_clean|delta_div_slope_sell|delta_div_slope_sell_clean
ES,113,delta_divergence_any,B,AUTRES,3,0,0.0,delta_divergence_any|div_confluence_with_regime|div_confluence_dmp
ES,53,n_delta_div_buy_zones_active,B,ORDER FLOW,1,0,0.0,n_delta_div_buy_zones_active
ES,54,n_delta_div_sell_zones_active,B,ORDER FLOW,1,0,0.0,n_delta_div_sell_zones_active
ES,55,ctx_div_density_20,B,CONTEXTE ROLLING,1,0,0.0,ctx_div_density_20
ES,24,ctx_climax_signal,B,CONTEXTE ROLLING,1,0,0.0,ctx_climax_signal
ES,109,ctx_failed_auction,B,CONTEXTE ROLLING,1,0,0.0,ctx_failed_auction
ES,16,ctx_absorption_score_5,B,CONTEXTE ROLLING,1,0,0.0,ctx_absorption_score_5
ES,14,ctx_absorption_streak_5,B,CONTEXTE ROLLING,2,0,0.0,ctx_absorption_streak_5|ctx_instant_absorption
ES,25,ctx_delta_exhaustion,B,ORDER FLOW,1,0,0.0,ctx_delta_exhaustion
ES,136,ctx_momentum_exhaustion,B,SWINGS / STRUCTURE,1,0,0.0,ctx_momentum_exhaustion
ES,116,ctx_poor_high,B,CONTEXTE ROLLING,1,0,0.0,ctx_poor_high
ES,107,ctx_poor_low,B,CONTEXTE ROLLING,1,0,0.0,ctx_poor_low
ES,111,ctx_excess_low_bars,B,CONTEXTE ROLLING,2,0,0.0,ctx_excess_high_bars|ctx_excess_low_bars
ES,99,ctx_double_top_trap,B,CONTEXTE ROLLING,1,0,0.0,ctx_double_top_trap
ES,124,ctx_delta_sum_3,A,ORDER FLOW,2,1,0.5,ctx_vol_sell_buy_ratio_5|ctx_delta_sum_3
ES,23,ctx_vol_slope_5,B,CONTEXTE ROLLING,1,0,0.0,ctx_vol_slope_5
ES,129,ctx_vwap_slope_accel,B,VWAP,1,0,0.0,ctx_vwap_slope_accel
ES,2,ctx_side_flip_count_10,B,CONTEXTE ROLLING,1,0,0.0,ctx_side_flip_count_10
ES,128,ctx_delta_slope_5,B,ORDER FLOW,1,0,0.0,ctx_delta_slope_5
ES,93,n_long_up_cluster_within_0_2pct,B,ORDER FLOW,1,0,0.0,n_long_up_cluster_within_0_2pct
ES,43,n_long_dn_cluster_within_0_2pct,B,ORDER FLOW,1,0,0.0,n_long_dn_cluster_within_0_2pct
ES,94,n_color_up_cluster_within_0_2pct,B,ORDER FLOW,1,0,0.0,n_color_up_cluster_within_0_2pct
ES,44,n_color_dn_cluster_within_0_2pct,B,ORDER FLOW,1,0,0.0,n_color_dn_cluster_within_0_2pct
ES,134,ctx_price_delta_div_3,B,ORDER FLOW,1,0,0.0,ctx_price_delta_div_3
ES,29,ctx_rotation_factor_20,B,CONTEXTE ROLLING,1,0,0.0,ctx_rotation_factor_20
ES,115,ctx_div_at_swing,B,SWINGS / STRUCTURE,1,0,0.0,ctx_div_at_swing
ES,104,n_edge_sell_active,B,ORDER FLOW,1,0,0.0,n_edge_sell_active
ES,22,rvol_regime,B,VOLATILITE / REGIME,1,0,0.0,rvol_regime
ES,86,is_new_sess_high,B,BARRE / OHLC,1,0,0.0,is_new_sess_high
ES,3,im_cross_delta_agreement_5,B,ORDER FLOW,1,0,0.0,im_cross_delta_agreement_5
ES,133,im_smt_divergence,B,INTERMARKET,1,0,0.0,im_smt_divergence
ES,64,im_delta_day_divergence,B,ORDER FLOW,1,0,0.0,im_delta_day_divergence
ES,42,im_open_type_agreement,B,MARKET PROFILE,1,0,0.0,im_open_type_agreement
ES,66,open_above_prev_vah,B,MARKET PROFILE,2,0,0.0,open_above_prev_vah|open_below_prev_val
