colonne,provenance,motif
london_open,C,nulls 76% par jour
ny_open,C,nulls 72% par jour
after_open,C,nulls 96% par jour
dist_asia_open_pct,B,plausibilite OK
dist_london_open_pct,C,nulls 49% par jour
dist_ny_open_pct,C,nulls 72% par jour
dist_after_open_pct,C,nulls 96% par jour
dist_asia_high_pct,C,remplacee par recalc.py
dist_asia_low_pct,C,remplacee par recalc.py
dist_london_high_pct,C,remplacee par recalc.py
dist_london_low_pct,C,remplacee par recalc.py
dist_us_high_pct,C,nulls 72% par jour
dist_us_low_pct,C,nulls 72% par jour
dist_after_high_pct,C,nulls 96% par jour
dist_after_low_pct,C,nulls 96% par jour
is_cash_session,B,plausibilite OK
session_date,C,metadonnee ou fuite
session_date_trading,C,moins de 100 valeurs
days_since_roll,B,plausibilite OK
roll_phase,C,booleen actif 100.0%
is_news_5m,C,booleen actif 0.1%
is_news_15m,C,booleen actif 0.4%
is_news_30m,C,booleen actif 0.8%
is_news_60m,C,booleen actif 1.6%
is_critical_news_60m,C,booleen actif 1.1%
news_seconds_until,C,nulls 19% par jour
news_minutes_until,C,nulls 19% par jour
is_eco_blocked,C,booleen actif 1.2%
is_session_blocked,B,plausibilite OK
is_blocked_combined,B,plausibilite OK
delta_div_buy,B,plausibilite OK
delta_div_sell,B,plausibilite OK
delta_div_strength,B,plausibilite OK
delta_divergence_any,B,plausibilite OK
delta_div_buy_clean,B,plausibilite OK
delta_div_sell_clean,B,plausibilite OK
delta_divergence_clean,B,plausibilite OK
n_delta_div_buy_zones_active,B,plausibilite OK
n_delta_div_sell_zones_active,B,plausibilite OK
dist_delta_div_buy_nearest_atr,C,nulls 56% par jour
dist_delta_div_sell_nearest_atr,C,nulls 60% par jour
ctx_div_density_20,B,plausibilite OK
ctx_bars_since_div,C,nulls 18% par jour
delta_div_slope_buy,B,plausibilite OK
delta_div_slope_sell,B,plausibilite OK
delta_div_slope_strength,B,plausibilite OK
delta_div_slope_buy_clean,B,plausibilite OK
delta_div_slope_sell_clean,B,plausibilite OK
delta_div_slope_clean,B,plausibilite OK
range_pos,B,plausibilite OK
ib_formed_bool,B,plausibilite OK
atr_regime_zscore_60d,C,nulls 77% par jour
ctx_climax_signal,B,plausibilite OK
ctx_failed_auction,B,plausibilite OK
ctx_absorption_score_5,B,plausibilite OK
ctx_absorption_streak_5,B,plausibilite OK
ctx_instant_absorption,C,desaccord ES/NQ : C vs B
ctx_delta_exhaustion,B,plausibilite OK
ctx_momentum_exhaustion,B,plausibilite OK
ctx_poor_high,B,plausibilite OK
ctx_poor_low,B,plausibilite OK
ctx_excess_high_bars,B,plausibilite OK
ctx_excess_low_bars,B,plausibilite OK
ctx_double_top_trap,B,plausibilite OK
ctx_vol_sell_buy_ratio_5,B,plausibilite OK
ctx_vol_slope_5,B,plausibilite OK
ctx_vol_z_20,C,saut au boot 5x la derive quotidienne
ctx_finish_strength_mean_5,B,plausibilite OK
ctx_dist_vwap_velocity,B,plausibilite OK
ctx_vwap_slope_accel,B,plausibilite OK
ctx_va_position_velocity,B,plausibilite OK
ctx_side_flip_count_10,B,plausibilite OK
ctx_range_vs_atr_10,B,plausibilite OK
ctx_price_slope_5,C,hors noyau (alias ou §7)
ctx_delta_sum_3,A,verifiee par identite
ctx_delta_slope_5,B,plausibilite OK
ctx_rvol_session,C,saut au boot 5x la derive quotidienne
mq_gamma_condition,B,plausibilite OK
aggressor_imbalance,B,plausibilite OK
long_up_bar,B,plausibilite OK
long_dn_bar,C,desaccord ES/NQ : B vs C
range_h_minus_lprev_ticks,C,desaccord ES/NQ : C vs B
range_hprev_minus_l_ticks,B,plausibilite OK
long_dn_up_pattern,C,desaccord ES/NQ : B vs C
long_up_dn_pattern,C,desaccord ES/NQ : B vs C
n_long_up_zones_active,B,plausibilite OK
n_long_dn_zones_active,B,plausibilite OK
n_long_up_cluster_within_0_2pct,B,plausibilite OK
n_long_dn_cluster_within_0_2pct,B,plausibilite OK
bn_color_up_fwd1,C,metadonnee ou fuite
bn_color_dn_fwd1,C,metadonnee ou fuite
bn_color_up_2_fwd1,C,metadonnee ou fuite
bn_color_dn_2_fwd1,C,metadonnee ou fuite
n_color_up_zones_active,B,plausibilite OK
n_color_dn_zones_active,B,plausibilite OK
n_color_up_cluster_within_0_2pct,B,plausibilite OK
n_color_dn_cluster_within_0_2pct,B,plausibilite OK
ctx_ib_position_velocity,C,nulls 86% par jour
ctx_delta_sum_10,B,plausibilite OK
ctx_mq_put_call_ratio,C,desaccord ES/NQ : B vs C
ctx_cvd_session,C,desaccord ES/NQ : C vs B
ctx_va_developing_10,C,desaccord ES/NQ : C vs B
ctx_cvd_recovery_rate,B,plausibilite OK
ctx_trend_day_score,B,plausibilite OK
ctx_va_width,B,plausibilite OK
ctx_price_delta_div_3,B,plausibilite OK
ctx_vol_z_5,C,saut au boot 5x la derive quotidienne
div_confluence_with_regime,B,plausibilite OK
div_confluence_dmp,B,plausibilite OK
div_at_key_level_ticks,C,nulls 94% par jour
ctx_ib_extension_ratio,C,nulls 76% par jour
ctx_session_phase,B,plausibilite OK
div_regime_proxy_ok,B,plausibilite OK
ctx_rotation_factor_20,B,plausibilite OK
ctx_div_at_swing,B,plausibilite OK
bar_edge_buy_fire,B,plausibilite OK
bar_edge_sell_fire,B,plausibilite OK
n_edge_buy_active,B,plausibilite OK
n_edge_sell_active,B,plausibilite OK
rvol_sell_strong,C,booleen actif 0.0%
rvol_regime,B,plausibilite OK
rvol_buy_strong,C,booleen actif 0.0%
rvol_extreme,C,booleen actif 0.9%
n_big_ask_v2_t1,B,plausibilite OK
n_big_bid_v2_t1,B,plausibilite OK
n_big_ask_v2_t2,C,desaccord ES/NQ : C vs B
n_big_bid_v2_t2,B,plausibilite OK
n_big_ask_v2_t3,B,plausibilite OK
n_big_bid_v2_t3,B,plausibilite OK
n_big_ask_v2_t4,C,desaccord ES/NQ : C vs B
n_big_bid_v2_t4,C,desaccord ES/NQ : C vs B
max_big_ask_vol_in_bar,C,desaccord ES/NQ : C vs B
max_big_bid_vol_in_bar,C,desaccord ES/NQ : C vs B
prev_vah,C,hors noyau (alias ou §7)
prev_val,C,hors noyau (alias ou §7)
prev_vpoc,C,hors noyau (alias ou §7)
cur_vah,A,verifiee par identite
cur_val,B,plausibilite OK
cur_vpoc,B,plausibilite OK
open_830,C,hors noyau (alias ou §7)
ib_high,C,nulls 76% par jour
date_et,C,metadonnee ou fuite
sess_low,A,verifiee par identite
price_1030,C,nulls 38% par jour
open_cash,C,hors noyau (alias ou §7)
is_new_sess_low,C,desaccord ES/NQ : B vs C
is_new_sess_high,B,plausibilite OK
dist_cash_high_pct,C,nulls 76% par jour
ib_low,C,nulls 76% par jour
ib_range,A,verifiee par identite
dist_ib_low_pct,C,nulls 76% par jour
dist_cash_low_pct,C,nulls 76% par jour
ib_atr,C,nulls 32% par jour
sess_high,A,verifiee par identite
dist_ib_high_pct,C,nulls 76% par jour
ib_broken_dn,B,plausibilite OK
dist_pvwap_pct,B,plausibilite OK
dist_pvwap_sd1u_pct,B,plausibilite OK
dist_pvwap_sd1d_pct,B,plausibilite OK
dist_pdh,A,verifiee par identite
dist_pdl,A,verifiee par identite
im_cross_delta_agreement_5,B,plausibilite OK
im_cross_delta_weighted_5,C,desaccord ES/NQ : B vs C
im_smt_divergence,B,plausibilite OK
